studyName,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments
PAL0809,Anvers,Biscoe,"Adult, 1 Egg Stage",N5A1,Yes,09/11/2008,46.14,11.44,182.87,5708,FEMALE,8.01979,-26.68311,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,22/11/2009,47.31,16.69,187.81,5660,FEMALE,8.10231,-26.18763,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",NP3,Yes,03/11/2007,52.42,17.17,181.62,5616,FEMALE,9.5776,-25.53059,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A1,Yes,22/11/2009,49.79,17.94,183.59,5691,FEMALE,8.41151,-26.13832,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N96A2,Yes,27/11/2009,39.16,11.02,188.94,4700,FEMALE,9.65061,-24.48153,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",NP58,No,28/12/2007,46.44,17.71,206.44,4773,FEMALE,7.11315,-26.64442,Sexing primers did not amplify.
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N58A1,Yes,12/11/2009,40.32,18.86,218.31,4973,FEMALE,8.43951,-26.57563,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N1A2,Yes,18/11/2009,43.65,19.22,224.13,4213,MALE,8.28601,-26.27573,
PAL0809,Anvers,Dream,"Adult, 1 Egg Stage",NP75,Yes,14/01/2008,36.35,21.13,213.65,5167,FEMALE,8.0395,-25.21259,
PAL0708,Anvers,Dream,"Adult, 1 Egg Stage",NP81,No,20/01/2008,39.3,10.13,178.26,5596,FEMALE,9.86965,-24.71691,
PAL0910,Anvers,Dream,"Adult, 1 Egg Stage",N85A2,Yes,17/11/2009,39.08,12.87,177.55,5745,MALE,8.8964,-26.06967,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N14A1,Yes,25/11/2009,53.54,13.35,188.49,3774,FEMALE,8.12691,-26.23613,
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",NP45,Yes,15/12/2007,50.67,16.93,186.26,5610,FEMALE,7.24139,-25.88827,
PAL0910,Anvers,Biscoe,"Adult, 1 Egg Stage",N38A2,No,01/12/2009,55.45,13.31,180.36,3466,,,,Adult not sampled. Nest never observed with full clutch.
PAL0708,Anvers,Torgersen,"Adult, 1 Egg Stage",NP56,Yes,26/12/2007,56.94,12.06,190.19,3360,FEMALE,8.28131,-26.79407,
PAL0708,Anvers,Biscoe,"Adult, 1 Egg Stage",N39A2,Yes,27/11/2007,55.74,12.32,189.7,2864,MALE,8.27376,-25.00169,
